,dialog,gameplan_prediction
10,<<Commander>> hi please put all small handheld objects on one table <<Instruction>> <<Commander>> there is one object on the brown coffee table <<Instruction>> <<Commander>> needs to be put on same yable as other <<Instruction>> <<Commander>> there is also a remote on the brown table that needs to be oicked up too <<Instruction>> ,Pickup Watch -- Place DiningTable -- Pickup KeyChain -- Place DiningTable -- Pickup CreditCard -- Place DiningTable -- Pickup RemoteControl -- Place DiningTable
11,<<Commander>> make an slice of potato and cook it <<Instruction>> <<Commander>> clean the plate <<Instruction>> ,Pickup Knife -- Slice Egg -- Slice Potato -- Place CounterTop -- Pickup PotatoSliced -- Place CounterTop -- Pickup PotatoSliced -- Place Pan -- ToggleOff StoveKnob -- Pickup PaperTowelRoll -- Place CounterTop -- Pickup Plate -- Place CounterTop -- Pickup PaperTowelRoll -- Place Sink -- ToggleOff Faucet -- Pickup Mug -- Place Sink -- Pickup Egg
12,<<Commander>> please make two slices of toast <<Instruction>> <<Commander>> Bread is on the table. <<InformationOnObjectDetails>> Please slice both loaves an take the end piece and toast it <<Instruction>> <<Commander>> It is the smallest and plate we will be using is very small <<Instruction>> <<Commander>> you will need a slice of tomato as well <<Instruction>> ,Open Fridge -- Pickup Knife -- Slice Bread -- Slice Bread -- Place DiningTable -- Pickup BreadSliced -- Place Plate -- Pickup BreadSliced -- Place Plate -- Pickup Plate -- Place CounterTop -- Pickup BreadSliced -- Place Toaster -- ToggleOn Toaster
13,<<Commander>> please clean a plate <<Instruction>> ,ToggleOff Faucet -- Open Cabinet -- Pickup Plate -- Close Cabinet -- Place  -- ToggleOn Faucet -- ToggleOff Faucet
14,<<Commander>> grab mug off the counter <<Instruction>> <<Commander>> and rinse in the sink <<Instruction>> <<Commander>> dump water out mug <<Instruction>> <<Commander>> place in coffee maler <<Instruction>> <<Commander>> turn on <<Instruction>> <<Commander>> grab plate on counter <<Instruction>> <<Commander>> take to the sink and rinse <<Instruction>> <<Commander>> empty sink first <<Instruction>> <<Commander>> place plate on the counter <<Instruction>> <<Commander>> grab lettuce next to the stove <<Instruction>> <<Commander>> slice with a knife <<Instruction>> <<Commander>> grab tomato and slice also <<Instruction>> <<Commander>> tomato <<Instruction>> <<Commander>> slice it <<Instruction>> <<Commander>> grab potato <<Instruction>> <<Commander>> slice it <<Instruction>> <<Commander>> after you slice it then cook it <<Instruction>> <<Commander>> potato need to be cooked not tomato <<Instruction>> <<Commander>> slice the potato and cook <<Instruction>> <<Commander>> place the tomato back on the counter <<Instruction>> <<Commander>> cook potato <<Instruction>> <<Commander>> in pan <<Instruction>> <<Commander>> just the potato <<Instruction>> ,Pickup Mug -- Place  -- ToggleOn Faucet -- ToggleOff Faucet -- Pickup Mug -- Pour  -- Place CoffeeMachine -- ToggleOn CoffeeMachine -- ToggleOff CoffeeMachine -- Pickup Plate -- Place CounterTop -- Pickup Cup -- Place CounterTop -- Pickup Cup -- Place CounterTop -- Pickup Spatula -- Place CounterTop -- Pickup Plate -- Place  -- ToggleOn Faucet -- ToggleOff Faucet -- Pickup Plate -- Place DiningTable -- Pickup Lettuce -- Place DiningTable -- Pickup Knife -- Slice Lettuce -- Slice Tomato -- Place DiningTable -- Pickup Potato -- Place CounterTop -- Pickup TomatoSliced -- Place Pot -- Pickup Pot -- Place StoveBurner -- Pickup TomatoSliced -- Place CounterTop -- Pickup Knife -- Slice Potato -- Place CounterTop -- Pickup Pot -- Place StoveBurner -- Pickup Cup -- Place  -- ToggleOn Faucet
15,<<Commander>> hello lets start with making a slice of tomato <<Instruction>> ,Pickup Knife -- Slice Tomato -- Place CounterTop
16,<<Commander>> pls make a coffee in clean mug <<Instruction>> <<Commander>> clean it <<Instruction>> <<Commander>> next make salad <<Instruction>> <<Commander>> slice the lettuce <<Instruction>> <<Commander>> tomato <<Instruction>> <<Commander>> potato <<Instruction>> <<Commander>> please check in fridge <<Instruction>> <<Commander>> slice the potato <<Instruction>> <<Commander>> cook the potato slice in microwoven <<Instruction>> <<Commander>> 2 slices <<Instruction>> <<Commander>> please clean the plate <<Instruction>> <<Commander>> and put all salad items in it <<Instruction>> ,Pickup Mug -- Place CounterTop -- ToggleOff Faucet -- Pickup Vase -- Place CounterTop -- Pickup Mug -- Place  -- ToggleOn Faucet -- ToggleOff Faucet -- Pickup Mug -- Pour  -- Place CoffeeMachine -- ToggleOn CoffeeMachine -- Open Microwave -- Pickup Lettuce -- Close Microwave -- Place CounterTop -- Pickup Knife -- Slice Lettuce -- Slice Potato -- Place CounterTop -- Open Drawer -- Close Drawer -- Open Drawer -- Close Drawer -- Open Drawer -- Close Drawer -- Open Drawer -- Close Drawer -- Open Drawer -- Open Cabinet -- Close Cabinet -- Close Drawer -- Open Drawer -- Close Drawer -- Open Drawer -- Close Drawer -- Open Drawer -- Close Drawer -- Open Drawer -- Close Drawer -- Open Fridge -- Close Fridge -- Pickup Tomato -- Place CounterTop -- Pickup Knife -- Slice Tomato -- Place CounterTop -- Pickup Knife -- Slice Potato -- Place CounterTop -- Pickup PotatoSliced -- Open Microwave -- Place Microwave -- Close Microwave -- ToggleOn Microwave -- ToggleOff Microwave -- Open Microwave -- Close Microwave -- Pickup PotatoSliced -- Place CounterTop -- Pickup PotatoSliced -- Open Microwave -- Place Microwave -- Close Microwave -- ToggleOn Microwave -- ToggleOff Microwave -- Open Microwave -- Pickup PotatoSliced -- Place CounterTop -- Pickup PotatoSliced -- Place CounterTop -- Close Microwave -- Pickup Plate -- Place  -- ToggleOn Faucet -- ToggleOff Faucet -- Pickup Plate
17,<<Commander>> We are making a slice of toast. <<Instruction>> <<Commander>> Now go toast the slice <<Instruction>> ,Pickup Bread -- Place DiningTable -- Pickup WineBottle -- Place CounterTop -- Pickup ButterKnife -- Slice Bread -- Place DiningTable -- Pickup BreadSliced -- Place Plate -- Pickup BreadSliced -- Place Plate -- Pickup BreadSliced -- Place Toaster -- Pickup BreadSliced -- Place Plate -- Pickup BreadSliced
18,<<Commander>> cook 3 slices of potatos with the help of knife <<Instruction>> <<Commander>> plese plate the potatos in clean plate <<Instruction>> ,Pickup Knife -- Place CounterTop -- Pickup Pot -- Place CounterTop -- ToggleOn StoveKnob -- ToggleOff StoveKnob -- Pickup Knife -- Slice Potato -- Place CounterTop -- Pickup Plate -- Place CounterTop -- Pickup PotatoSliced -- Place Plate -- Pickup PotatoSliced -- Place Plate -- Pickup PotatoSliced -- Place Plate
19,<<Commander>> coffee please <<Instruction>> ,Pickup Cup -- Place CounterTop -- Pickup Mug -- Pour Sink -- Place CoffeeMachine -- Pickup Mug
20,<<Commander>> lets slice a tomato <<Instruction>> ,Pickup Knife -- Slice Apple -- Place DiningTable -- Pickup Cup -- Place DiningTable -- Pickup Tomato
21,<<Commander>> hi... <<Greetings/Salutations>> lets make a plate of toast <<Instruction>> ,Open Fridge -- Pickup Spoon -- Place Fridge -- Pickup Knife -- Close Fridge -- Slice Bread -- Place SideTable -- Pickup BreadSliced -- Place Toaster -- ToggleOn Toaster -- ToggleOff Toaster
22,<<Commander>> our task is to clean all plates <<Instruction>> ,ToggleOff Faucet -- Pickup Plate -- Place  -- ToggleOn Faucet
23,<<Commander>> make a sandwich <<Instruction>> <<Commander>> bread <<Instruction>> <<Commander>> take some bread and slice it toat it <<Instruction>> <<Commander>> toast it <<Instruction>> <<Commander>> please toast the sliced bread <<Instruction>> <<Commander>> take letuce and slice it <<Instruction>> <<Commander>> slice tomate <<Instruction>> <<Commander>> all sandwich components need to be on plate <<Instruction>> ,Pickup Knife -- Slice Bread -- Slice Bread -- Place CounterTop -- Pickup Bread -- Place CounterTop -- Pickup BreadSliced -- Place CounterTop -- Pickup BreadSliced -- Place Toaster -- Pickup BreadSliced -- Place CounterTop -- Pickup BreadSliced -- Place Toaster -- Pickup BreadSliced -- Place CounterTop -- Pickup Knife -- Slice Lettuce -- Place CounterTop -- Open Fridge -- Pickup Tomato -- Place CounterTop -- Pickup Knife -- Slice Tomato -- Place CounterTop -- Pickup Plate -- Place CounterTop -- Pickup Potato -- Place CounterTop -- Pickup Plate -- Place CounterTop -- Pickup BreadSliced -- Place Plate -- Pickup TomatoSliced -- Place Plate -- Pickup BreadSliced -- Place Plate -- Pickup LettuceSliced -- Place Plate
24,"<<Commander>> Today you will make  a salad <<Instruction>> <<Commander>> First make a slice of lettuce <<Instruction>> <<Commander>> Next make a slice of tomato <<Instruction>> <<Commander>> Next cook a slice of potato <<Instruction>> <<Commander>> Cook another slice of potato <<Instruction>> <<Commander>> Hurry <<Instruction>> <<Commander>> Now put thhe one slice of lettuce, slice of tomato and two slices of potato on a plate <<Instruction>> ",Pickup Knife -- Slice Lettuce -- Place CounterTop -- Pickup Tomato -- Place CounterTop -- Pickup Knife -- Slice Tomato -- Place CounterTop -- Pickup Pan -- Place DiningTable -- Pickup Potato -- Place DiningTable -- Pickup Knife -- Slice Potato -- Place DiningTable -- Pickup PotatoSliced -- Place CounterTop -- ToggleOff Microwave -- Open Microwave -- Pickup Potato -- Place CounterTop -- Pickup Mug -- Place CounterTop -- Pickup PotatoSliced -- Place Microwave -- Close Microwave -- ToggleOn Microwave -- ToggleOff Microwave -- Pickup PotatoSliced -- Place DiningTable -- Pickup PotatoSliced -- Place CounterTop -- Open Microwave -- Pickup PotatoSliced -- Place CounterTop -- Pickup PotatoSliced -- Place Microwave -- Close Microwave -- ToggleOn Microwave -- ToggleOff Microwave -- Open Microwave -- Pickup PotatoSliced -- Place CounterTop -- Close Microwave -- Pickup Plate -- Place CounterTop -- Pickup PotatoSliced -- Place Plate -- Pickup TomatoSliced -- Place CounterTop -- Pickup TomatoSliced -- Place Plate -- Pickup LettuceSliced -- Place Plate -- Pickup PotatoSliced -- Place Plate
25,<<Commander>> Please prepare breakfast <<Instruction>> <<Commander>> Please prepare coffee <<Instruction>> <<Commander>> We need to make a salad <<Instruction>> <<Commander>> Please slice lettuce which is in microwave <<Instruction>> <<Commander>> Slice tomato <<Instruction>> <<Commander>> Cook potato <<Instruction>> <<Commander>> Slice potato and cook one slice <<Instruction>> ,Pickup Mug -- ToggleOn CoffeeMachine -- ToggleOff CoffeeMachine -- Place CoffeeMachine -- Pickup Mug -- Place CoffeeMachine -- ToggleOn CoffeeMachine -- ToggleOff CoffeeMachine -- Pickup Mug -- Place CoffeeMachine -- Pickup Mug -- Place CoffeeMachine -- ToggleOn CoffeeMachine -- Pickup Mug -- Place CounterTop -- Open Microwave -- Pickup Lettuce -- Close Microwave -- Place DiningTable -- Pickup Knife -- Slice Lettuce -- Place DiningTable -- Pickup Knife -- Slice Tomato -- Place CounterTop -- Pickup Knife -- Slice Potato -- Place CounterTop
26,"<<Commander>> Hello, <<Greetings/Salutations>> you need to make a sandwich <<Instruction>> <<Commander>> yOU NEED TO TOAST 2 PCS OF BREAD <<Instruction>> <<Commander>> Great. <<FeedbackPositive>> Next please slice the lettuce thereon your left <<Instruction>> <<Commander>> No tomato in this sandwich please :) <<Instruction>> <<Commander>> Place 2 slices of toast and 1 slice of lettuce on the plate please <<Instruction>> ",Pickup Knife -- Slice Bread -- Place DiningTable -- Pickup BreadSliced -- Place Toaster -- Pickup BreadSliced -- Place CounterTop -- ToggleOn Toaster -- ToggleOff Toaster -- Pickup BreadSliced -- Place CounterTop -- Pickup BreadSliced -- Place Toaster -- ToggleOn Toaster -- ToggleOff Toaster -- Pickup BreadSliced -- Place CounterTop -- Pickup Knife -- Slice Lettuce -- Slice Apple -- Place CounterTop -- Open Cabinet -- Pickup Plate -- Close Cabinet -- Place CounterTop -- Pickup BreadSliced -- Place Plate -- Pickup BreadSliced -- Place Plate -- Pickup LettuceSliced
27,<<Commander>> find watches <<Instruction>> <<Commander>> put watch in box <<Instruction>> ,Pickup WateringCan -- Place SideTable -- Pickup RemoteControl -- Place CoffeeTable -- Pickup Box -- Place CoffeeTable -- Pickup Box -- Place CoffeeTable -- Pickup Watch
28,<<Commander>> boil a whole potatoes in water <<Instruction>> <<Commander>> dont cut...boil it whole <<Instruction>> <<Commander>> in the pot on the stove <<Instruction>> ,Pickup Potato -- Place CounterTop -- Open Drawer -- Open Drawer -- Pickup Potato -- Close Drawer -- Close Drawer -- Place Pot -- Pickup Pot
29,<<Commander>> clean all the plates <<Instruction>> ,Pickup Plate -- Place CounterTop -- Open Cabinet -- Open Cabinet
30,"<<Commander>> we're gonna make some breakfast <<Instruction>> <<Commander>> let's start with coffee <<Instruction>> <<Commander>> we're going to make a salad <<Instruction>> <<Commander>> use that to cut lettuce, tomato, and a potato <<Instruction>> ",Open Fridge -- Pickup Mug -- Close Fridge -- ToggleOff Faucet -- Pour  -- ToggleOff CoffeeMachine -- Place CoffeeMachine -- ToggleOn CoffeeMachine -- Pickup Knife -- Slice Lettuce -- Place CounterTop -- Open Fridge -- Pickup Tomato -- Close Fridge
31,<<Commander>> grab the purple object <<Instruction>> in the tub <<InformationOnObjectDetails>> <<Commander>> take it to the sink <<Instruction>> but first turn off the water <<InformationOther>> <<Commander>> drop it in the sink and turn on the water <<Instruction>> ,Pickup Cloth -- ToggleOff Faucet -- Place  -- ToggleOn Faucet
32,<<Commander>> please get the tomato from the top most left cabinet above the stove and slice it <<Instruction>> <<Commander>> go to the big cabinet right to the sink <<Instruction>> <<Commander>> top most <<Instruction>> <<Commander>> go right <<Instruction>> <<Commander>> right <<Instruction>> <<Commander>> go right <<Instruction>> <<Commander>> this is the wrong cabinet <<Instruction>> <<Commander>> top most <<Instruction>> <<Commander>> clean this bowl <<Instruction>> ,Open Cabinet -- Pickup Tomato -- Place CounterTop -- Pickup Knife -- Slice Tomato -- Place CounterTop -- Open Cabinet -- Open Cabinet -- Open Cabinet -- Close Cabinet -- Open Cabinet -- Pickup Bowl -- Close Cabinet -- Close Cabinet -- ToggleOff Faucet -- Place CounterTop -- Pickup Egg -- Place CounterTop -- Pickup Egg -- Place CounterTop -- Pickup Bowl -- Place CounterTop -- Pickup Cup -- Place CounterTop -- Pickup DishSponge -- Place CounterTop -- Pickup Bowl -- Place Sink -- ToggleOn Faucet -- ToggleOff Faucet -- Pickup Bowl -- Pour  -- Place CounterTop
33,<<Commander>> slice tomato <<Instruction>> <<Commander>> slice tomato <<Instruction>> <<Commander>> after that wash bowl on table <<Instruction>> <<Commander>> after cleaning the bowl place 1 slice of tomato <<Instruction>> ,Open Fridge -- Pickup Tomato -- Place DiningTable -- Close Fridge -- Open Cabinet -- Open Cabinet -- Pickup Knife -- Slice Tomato -- Place DiningTable -- Close Cabinet -- Pickup Bowl -- Pour 
34,"<<Commander>> please make coffe <<Instruction>> <<Commander>> pour coffee into cup at coffee pot <<Instruction>> <<Commander>> Now place a slice of lettuce on a plate <<Instruction>> <<Commander>> Slice of lettuce on plate on table <<Instruction>> <<Commander>> great, <<FeedbackPositive>> now slice of tomato <<Instruction>> <<Commander>> cook 1 slice potato and put on plate <<Instruction>> <<Driver>> Tomato slice and lettuce slice are on the plate <<Instruction>> ",Pickup Mug -- ToggleOff CoffeeMachine -- Place CoffeeMachine -- ToggleOn CoffeeMachine -- Open Fridge -- Pickup ButterKnife -- ToggleOff Faucet -- Slice Lettuce -- Place DiningTable -- Pickup LettuceSliced -- Place Plate -- Pickup Tomato -- Place DiningTable -- Pickup ButterKnife -- Slice Tomato -- Place DiningTable -- Pickup ButterKnife -- Place DiningTable -- Pickup TomatoSliced -- Place Plate -- Pickup ButterKnife -- Slice Potato -- Place CounterTop -- Pickup PotatoSliced -- Place CounterTop -- Pickup PotatoSliced
35,<<Commander>> make a salad <<Instruction>> <<Commander>> slice tomatoes first <<Instruction>> <<Commander>> slice <<Instruction>> <<Commander>> 2 slices <<Instruction>> <<Commander>> slice and cook <<Instruction>> <<Commander>> grab potato <<Instruction>> ,Pickup Knife -- Slice Tomato -- Place DiningTable -- Pickup Plate -- Place Sink -- Pickup Plate -- Place DiningTable
36,<<Commander>> slice a tomatoe please <<Instruction>> <<Commander>> rsinse the dirty bowl on the dining table <<Instruction>> <<Commander>> put 1 slice of tomato in the clean bowl <<Instruction>> <<Commander>> pour out the water in the bowl <<Instruction>> ,Pickup Tomato -- Place CounterTop -- Pickup ButterKnife -- Slice Tomato -- Place CounterTop -- Pickup Bowl -- Place  -- ToggleOn Faucet -- ToggleOff Faucet -- Pickup Bowl -- Place CounterTop -- Pickup TomatoSliced -- Place Bowl
37,<<Commander>> today we make a salad <<Instruction>> <<Commander>> slice  a lettuce using a knife <<Instruction>> <<Commander>> please slice  a tomato <<Instruction>> ,Pickup ButterKnife -- Place DiningTable -- ToggleOff Faucet -- Pickup Knife -- Place DiningTable -- Open Fridge -- Close Fridge -- Open Fridge -- Pickup Lettuce -- Close Fridge -- Place DiningTable -- Pickup Knife -- Slice Lettuce -- Place DiningTable -- Pickup Tomato -- Place DiningTable -- Pickup Knife -- Slice Tomato
38,"<<Commander>> Hello. <<Greetings/Salutations>> We need to make a plate of toast. <<Instruction>> <<Commander>> The bread needs to be sliced using a knife. <<Instruction>> <<Commander>> I am not sure. We will have to look around. <<Instruction>> <<Commander>> Okay. Put it in the toaster. <<Instruction>> <<Commander>> okay. We need to clean the plate. <<Instruction>> <<Commander>> Rinse with water in the sink. Then the toast needs to go on the plate. <<Instruction>> <<Commander>> ok. It says to rinse with water. Is there another way to rinse with water? <<Instruction>> <<Commander>> ok! Now put toast on the clean plate. <<Instruction>> <<Commander>> Alright. Next, cook 2 slices of Potato and serve on a plate. <<Instruction>> <<Commander>> The potato needs to be sliced using a knife. <<Instruction>> ",Open Fridge -- Close Fridge -- Open Drawer -- Close Drawer -- Open Drawer -- Close Drawer -- Open Cabinet -- Pickup Bread -- Place DiningTable -- Pickup Bread -- Place CounterTop -- Pickup Knife -- Slice Bread -- Place CounterTop -- Pickup BreadSliced -- Place Toaster -- Pickup BreadSliced -- Place CounterTop -- Pickup Plate -- Place CounterTop -- Pickup WineBottle -- Place CounterTop -- Pickup Plate -- Place CounterTop -- Pickup Spoon -- Place CounterTop -- Pickup Plate -- Place CounterTop -- ToggleOn Faucet -- ToggleOff Faucet -- Pickup Plate -- Place CounterTop -- ToggleOn Faucet -- Pickup Plate -- Place  -- ToggleOff Faucet -- Pickup Plate -- Place CounterTop -- Pickup BreadSliced -- Place Plate -- Pickup Potato -- Place CounterTop
39,"<<Commander>> Today we are making a slad <<Instruction>> <<Commander>> Salad* <<Instruction>> <<Commander>> First, slice the lettuce. We need two slices <<Instruction>> <<Commander>> Slice the lettuce <<Instruction>> <<Commander>> Next you will make a tomato <<Instruction>> <<Commander>> A tomato slice <<Instruction>> <<Commander>> Now go to the fridge and get a plate <<Instruction>> ",Pickup Lettuce -- Place CounterTop -- Open Cabinet -- Pickup Knife -- Place CounterTop -- Pickup Lettuce -- Place CounterTop -- Pickup Knife -- Slice Lettuce -- Place CounterTop -- Pickup Tomato -- Place CounterTop -- Pickup Knife -- Slice Tomato -- Place CounterTop -- Pickup Bowl -- Place CounterTop -- Open Fridge -- Pickup Plate -- Close Fridge -- Place CounterTop -- Pickup Potato -- Place CounterTop
